timestamp,pm10,pm2_5,co,no2,so2,ozone,dust,uv_index,temperature,humidity,wind_speed,aqi,created_at,city
2025-09-05T00:00:00.000Z,47.0,22.3,198,16.7,9.3,36,40,0.0,26.8,86,12.7,71.88841201716738,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T01:00:00.000Z,43.9,20.8,180,12.6,8.1,40,37,0.0,26.4,88,11.4,68.66952789699572,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T02:00:00.000Z,40.9,19.4,167,9.5,7.3,43,35,0.0,26.2,89,9.5,65.66523605150215,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T03:00:00.000Z,40.2,18.7,150,7.8,7.1,44,35,0.0,26.0,89,7.5,64.16309012875537,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T04:00:00.000Z,40.0,18.5,138,7.2,7.3,44,35,0.0,25.9,91,10.3,63.73390557939914,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T05:00:00.000Z,40.3,18.5,155,7.6,7.9,44,36,0.0,25.8,93,12.6,63.73390557939914,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T06:00:00.000Z,41.1,19.2,235,9.4,8.8,42,39,0.0,26.4,92,14.0,65.23605150214593,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T07:00:00.000Z,45.4,21.6,345,11.9,10.2,40,44,0.2,26.6,90,10.2,70.3862660944206,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T08:00:00.000Z,52.5,23.6,410,13.3,12.1,43,49,1.05,27.8,82,8.2,74.67811158798284,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T09:00:00.000Z,57.4,25.5,387,12.7,15.1,56,55,2.8,29.5,72,8.9,78.75536480686696,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T10:00:00.000Z,63.6,28.0,318,11.0,18.6,74,61,5.1,31.2,64,10.1,84.12017167381975,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T11:00:00.000Z,68.7,31.0,264,9.4,21.1,92,65,7.25,32.2,60,12.3,90.55793991416309,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T12:00:00.000Z,71.9,33.4,244,7.9,21.8,110,65,8.35,32.7,58,13.7,95.70815450643777,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T13:00:00.000Z,69.4,33.4,238,6.4,21.4,127,62,8.1,32.8,58,14.8,95.70815450643777,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T14:00:00.000Z,65.7,32.0,240,5.9,20.4,132,59,6.6,32.5,58,15.7,92.70386266094421,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T15:00:00.000Z,61.5,30.0,251,6.9,18.5,117,57,4.25,31.8,60,16.0,88.41201716738198,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T16:00:00.000Z,58.4,27.6,269,9.0,16.1,90,55,2.0,31.1,63,16.0,83.26180257510731,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T17:00:00.000Z,63.8,29.7,285,12.5,14.7,72,60,0.6,30.1,71,16.9,87.76824034334766,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T18:00:00.000Z,61.0,28.9,299,16.9,13.8,59,55,0.1,28.9,79,14.0,86.05150214592274,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T19:00:00.000Z,56.6,28.5,310,22.8,12.5,40,48,0.0,28.1,83,11.0,85.1931330472103,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T20:00:00.000Z,54.4,28.5,307,26.3,11.4,28,43,0.0,27.8,85,10.1,85.1931330472103,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T21:00:00.000Z,54.7,28.8,278,25.2,10.8,27,41,0.0,27.4,87,14.1,85.83690987124464,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T22:00:00.000Z,54.5,28.3,235,21.7,10.5,32,40,0.0,27.3,87,14.5,84.76394849785409,2026-01-17T03:07:34.530Z,Karachi
2025-09-05T23:00:00.000Z,51.8,27.5,197,18.0,10.0,37,39,0.0,27.2,85,15.6,83.04721030042919,2026-01-17T03:07:34.530Z,Karachi
2025-09-06T00:00:00.000Z,49.7,26.4,172,14.7,9.2,40,39,0.0,27.2,85,13.4,80.68669527896996,2026-01-17T03:07:34.530Z,Karachi
2025-09-06T01:00:00.000Z,48.8,25.3,152,11.4,8.3,44,39,0.0,27.0,86,12.6,78.32618025751074,2026-01-17T03:07:34.530Z,Karachi
